0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.851,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.85,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.849,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.848,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.847,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.846,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.845,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.844,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.843,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.842,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.841,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.84,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.839,2,2,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.838,2,2,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.837,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
0.836,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
0.835,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
0.834,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
0.833,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
0.832,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
0.831,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
0.83,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
0.829,2,2,2,2,5,5,5,5,5,8,1,2,2,2,2,2,2,2,2,2,2
