VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg,lp_lagaug,lp_gls,varlp_avg,svar_iv,residual,lp_IV_controls
h11,0.568339234460518,-0.410632316956141,0.499696555175632,-0.516867839592267,-0.691758382118998,-0.45410660865887,-0.0248266823501805,-0.400993846738878,0.602307978876231,-0.311156976498273,0.430503936907369,0.39801431629791,0.425912045235672
h12,0.545040690983537,-0.203902865386264,0.447170469453041,-0.611388514601525,-1.09753975317723,-0.967487098639831,0.0890518812221724,-0.722908868915327,0.468970315578275,-0.0615571471454736,0.435209646859556,0.615682034846014,0.952244507656599
h13,0.309006348822795,-0.0191560078080191,0.3539294638132,-0.556990617809095,-0.807896854766034,-0.51346140872532,-0.210750435991368,-0.56121834245594,0.473280952027759,-0.236976796464211,0.291875574411242,-0.0492528415876598,0.561818034934199
h14,0.495682341975281,0.089467852085025,0.0669618952032381,-0.0487136147789724,-0.268951784232781,-0.35529326112668,-0.509791134118787,-0.229518362291608,0.549252221647134,-0.326627721277765,0.274389012750668,0.176546187061413,0.285531890905569
h15,0.486357532356891,0.132849444437064,-0.241115000233771,-0.114199715563208,-0.0360730161674007,-0.590068213247715,-0.713614325973977,-0.120034651079037,0.429302323625377,-0.235745128729399,0.216116847821635,0.2109035268227,0.444929830380891
h16,0.434719534644221,0.141906325322756,-0.00673254073653893,-0.556905733811308,-0.274740884822701,-0.313352911608343,-0.4096311971654,-0.118159805500676,0.317032316577358,-0.267502677477388,0.0224764087404152,0.438079129780338,0.480414224898718
h17,0.363463637116903,0.136081221008553,0.0951629998220205,-0.425848825623478,-0.00802616396690539,-0.389781747353692,-1.33968654067987,-0.344080021942446,0.635621605551504,-0.0396471218477134,0.115420911681186,0.515815054194246,0.780375924996081
h18,0.269422302666263,0.10506599960009,0.102992368175125,-0.399258231527384,-0.551062585095143,-0.272526098526557,-1.15990051013124,-0.59744464727905,0.592338092992647,-0.0695403297010159,0.0575522416131965,-0.0118437898610065,0.595831121777696
h19,0.141419740776712,0.020792529876295,0.0713662354866135,0.102206491591996,-0.360631958112177,-0.0700135854488343,-0.299262410609735,-0.0511153727260422,0.148185919489595,0.0722743701358282,-0.178768052758291,-0.0435155643746279,0.589548501521582
h20,0,0,0,0,0,0,0,0,0,0,0,0,0
