0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.857,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.856,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.855,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.854,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.853,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.852,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.851,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.85,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.849,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.848,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.847,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.846,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.845,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.844,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.843,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.842,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.841,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.84,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.839,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.838,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.837,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.836,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.835,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.834,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.833,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.832,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.831,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.83,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.829,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.828,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.827,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.826,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.825,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.824,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.823,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.822,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.821,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.82,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.819,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.818,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.817,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.816,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.815,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.814,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.813,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.812,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.811,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.81,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.809,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.808,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.807,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.806,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.805,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.804,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.803,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.802,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.801,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.799,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.798,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.797,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.796,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.795,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.794,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.793,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.792,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.791,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.79,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.789,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.788,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.787,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.786,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.785,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.784,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.783,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.782,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.781,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.78,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.779,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.778,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.777,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.776,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.775,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.774,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.773,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.772,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.771,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.77,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.769,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.768,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.767,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.766,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.765,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.764,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.763,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.762,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.761,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.76,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.759,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.758,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.757,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.756,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
