0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.964,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.963,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.962,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.961,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.96,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.959,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.958,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.957,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,8,8,4,4
0.956,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,8,8,8,4
0.955,1,1,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,8,8,8,4
0.954,1,1,2,4,4,8,4,4,4,4,4,4,5,5,5,5,5,8,8,8,4
0.953,1,1,2,4,4,8,4,4,4,4,4,4,5,5,5,5,5,8,8,8,4
0.952,1,1,2,1,4,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,4
0.951,1,1,2,1,4,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,8
0.95,1,1,2,1,4,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,8
0.949,1,1,2,1,4,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,8
0.948,1,1,2,1,4,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,8
0.947,1,1,2,1,1,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,8
0.946,1,1,2,1,1,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,8
0.945,1,1,2,1,1,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,8
0.944,1,1,2,1,1,8,8,4,4,4,4,4,5,5,5,5,5,8,8,8,8
0.943,1,1,2,1,1,8,8,8,4,4,4,5,5,5,5,5,5,8,8,8,8
0.942,1,1,2,1,1,8,8,8,4,4,4,5,5,5,5,5,5,8,8,8,8
0.941,1,1,2,1,1,8,8,8,4,4,4,5,5,5,5,5,5,8,8,8,8
0.94,1,1,2,1,1,8,8,8,4,4,4,5,5,5,5,5,5,8,8,8,8
0.939,1,1,2,1,1,8,8,8,4,4,4,5,5,5,5,5,5,8,8,8,8
0.938,1,1,2,1,1,8,8,8,4,4,4,5,5,5,5,5,5,8,8,8,8
0.937,1,1,2,1,1,8,8,8,4,4,4,5,5,5,5,5,5,8,8,8,8
0.936,1,1,2,1,1,8,8,8,8,4,4,5,5,5,5,5,5,8,8,8,8
0.935,1,1,2,1,1,8,8,8,8,4,8,5,5,5,5,5,5,8,8,8,8
0.934,1,1,2,1,1,8,8,8,8,4,8,5,5,5,5,5,8,8,8,8,8
0.933,1,1,2,1,1,8,8,8,8,8,8,5,5,5,5,5,8,8,8,8,8
